,Date,Time,Waiting Time
0,01/13/2015,2015-01-13 15:57:02,4.0
1,01/24/2015,2015-01-24 18:59:11,6.0
2,01/29/2015,2015-01-29 12:18:23,0.0
3,02/21/2015,2015-02-21 10:03:50,23.0
4,02/21/2015,2015-02-21 20:22:55,6.0
5,02/24/2015,2015-02-24 14:04:40,10.0
6,03/14/2015,2015-03-14 13:49:38,10.0
7,03/23/2015,2015-03-23 09:05:04,0.0
8,03/23/2015,2015-03-23 09:10:05,0.0
9,03/23/2015,2015-03-23 09:15:04,0.0
10,03/23/2015,2015-03-23 09:20:04,0.0
11,03/23/2015,2015-03-23 09:25:04,0.0
12,03/23/2015,2015-03-23 09:30:04,0.0
13,03/23/2015,2015-03-23 09:35:03,0.0
14,03/23/2015,2015-03-23 09:40:04,0.0
15,03/23/2015,2015-03-23 09:45:04,0.0
16,03/23/2015,2015-03-23 09:50:04,0.0
17,03/23/2015,2015-03-23 09:55:04,0.0
18,03/23/2015,2015-03-23 10:00:04,0.0
19,03/23/2015,2015-03-23 10:05:04,0.0
20,03/23/2015,2015-03-23 10:10:04,0.0
21,03/23/2015,2015-03-23 10:15:04,0.0
22,03/23/2015,2015-03-23 10:20:04,0.0
23,03/23/2015,2015-03-23 10:25:04,0.0
24,03/23/2015,2015-03-23 10:30:04,0.0
25,03/23/2015,2015-03-23 10:35:03,0.0
26,03/23/2015,2015-03-23 10:40:03,0.0
27,03/23/2015,2015-03-23 10:45:03,0.0
28,03/23/2015,2015-03-23 10:50:03,0.0
29,03/23/2015,2015-03-23 10:55:03,0.0
30,03/23/2015,2015-03-23 11:00:04,0.0
31,03/23/2015,2015-03-23 11:05:04,0.0
32,03/23/2015,2015-03-23 11:10:04,0.0
33,03/23/2015,2015-03-23 11:15:03,0.0
34,03/23/2015,2015-03-23 11:20:03,0.0
35,03/23/2015,2015-03-23 11:25:04,0.0
36,03/23/2015,2015-03-23 11:30:04,0.0
37,03/23/2015,2015-03-23 11:35:03,0.0
38,03/23/2015,2015-03-23 11:40:03,0.0
39,03/23/2015,2015-03-23 11:45:04,0.0
40,03/23/2015,2015-03-23 11:50:03,0.0
41,03/23/2015,2015-03-23 11:55:04,0.0
42,03/23/2015,2015-03-23 12:00:04,0.0
43,03/23/2015,2015-03-23 12:05:03,0.0
44,03/23/2015,2015-03-23 12:10:04,0.0
